Fecha,ARIMA,LSTM,Bayesiana,Ensemble
2025-05-09 04:40:14.332000700+00:00,114.27089741342046,75.01592,116.68437376418962,101.99039790799894
2025-05-10 04:40:14.332000700+00:00,114.2708974144071,68.000275,116.68572519372327,99.65229908877784
2025-05-11 04:40:14.332000700+00:00,114.270897415106,62.443817,116.68707662325694,97.8005970590116
2025-05-12 04:40:14.332000700+00:00,114.27089741560107,58.565674,116.6884280527906,96.50833309883889
2025-05-13 04:40:14.332000700+00:00,114.27089741595175,56.29542,116.68977948232427,95.7520328328726
2025-05-14 04:40:14.332000700+00:00,114.27089741620016,55.49815,116.69113091185793,95.48672606662808
2025-05-15 04:40:14.332000700+00:00,114.27089741637612,56.036945,116.69248234139158,95.6667750335951
2025-05-16 04:40:14.332000700+00:00,114.27089741650076,57.381214,116.69383377092525,96.11531510975725
2025-05-17 04:40:14.332000700+00:00,114.27089741658905,59.183777,116.69518520045891,96.71661982417224
2025-05-18 04:40:14.332000700+00:00,114.2708974166516,61.284267,116.69653662999256,97.41723382406042
2025-05-19 04:40:14.332000700+00:00,114.2708974166959,63.86565,116.69788805952624,98.27814521774137
2025-05-20 04:40:14.332000700+00:00,114.27089741672728,66.842415,116.69923948905989,99.27085058724806
2025-05-21 04:40:14.332000700+00:00,114.2708974167495,69.928,116.70059091859355,100.29982991305054
2025-05-22 04:40:14.332000700+00:00,114.27089741676525,73.03818,116.70194234812722,101.33700575170894
2025-05-23 04:40:14.332000700+00:00,114.2708974167764,76.038734,116.70329377766087,102.33764187682414
2025-05-24 04:40:14.332000700+00:00,114.27089741678431,79.14198,116.70464520719455,103.37250855206848
2025-05-25 04:40:14.332000700+00:00,114.27089741678991,82.103424,116.7059966367282,104.3601060419279
2025-05-26 04:40:14.332000700+00:00,114.27089741679387,85.09408,116.70734806626186,105.3574411823402
2025-05-27 04:40:14.332000700+00:00,114.27089741679669,88.03081,116.70869949579553,106.33680146923648
2025-05-28 04:40:14.332000700+00:00,114.27089741679868,90.83687,116.71005092532918,107.27260554275357
2025-05-29 04:40:14.332000700+00:00,114.27089741680008,93.35016,116.71140235486286,108.11081948768974
2025-05-30 04:40:14.332000700+00:00,114.27089741680108,95.054214,116.71275378439651,108.67928855957888
2025-05-31 04:40:14.332000700+00:00,114.27089741680179,95.35024,116.71410521393017,108.77841508182603
2025-06-01 04:40:14.332000700+00:00,114.27089741680228,93.73292,116.71545664346384,108.23975728197023
2025-06-02 04:40:14.332000700+00:00,114.27089741680264,90.079414,116.7168080729975,107.02237328582531
2025-06-03 04:40:14.332000700+00:00,114.2708974168029,84.48994,116.71815950253115,105.1596645826491
